Meter,Depth,Type,Date Start,Date End,Latitude,Longitude,CCE,CCE Mag.,CCE Deg.,Mean Mag. Obs. (m/s),Mean Dir. Obs. (deg.),Mean Mag. Mod. (m/s),Mean Dir. Mod. (deg.),Simple Bias (m/s),Complex Bias,RMSE,CRMSE
NDBC46088,1.6,Total,2017-05-31,2017-07-12,48.332,-123.179,(-0.02+0.07j),0.07,103.65,0.15,207.91,0.33,220.94,0.18,(-0.14-0.11j),0.74,0.71
NDBC46088,1.6,Non-Tidal,2017-05-31,2017-07-12,48.332,-123.179,(0.08+0.01j),0.09,5.18,0.15,208.17,0.32,220.82,0.17,(-0.14-0.11j),0.31,0.25
NDBC46088,1.6,Tidal,2017-05-31,2017-07-12,48.332,-123.179,(-0.03+0.08j),0.09,112.81,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46088,1.6,Total,2017-07-12,2017-08-21,48.332,-123.179,(0.28+0.11j),0.3,21.91,0.16,206.85,0.35,213.13,0.19,(-0.12-0.15j),0.6,0.57
NDBC46088,1.6,Non-Tidal,2017-07-12,2017-08-21,48.332,-123.179,(-0.08-0.04j),0.09,-153.26,0.16,206.73,0.36,213.18,0.2,(-0.12-0.15j),0.33,0.27
NDBC46088,1.6,Tidal,2017-07-12,2017-08-21,48.332,-123.179,(0.37+0.15j),0.4,22.63,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46088,1.6,Total,2018-02-24,2018-08-11,48.332,-123.179,(-0.05-0.01j),0.05,-163.81,0.09,203.86,0.27,223.42,0.19,(-0.15-0.12j),0.76,0.73
NDBC46088,1.6,Non-Tidal,2018-02-24,2018-08-11,48.332,-123.179,(-0.05-0.03j),0.05,-150.96,0.09,203.88,0.27,223.44,0.19,(-0.15-0.12j),0.37,0.32
NDBC46088,1.6,Tidal,2018-02-24,2018-08-11,48.332,-123.179,(-0.06-0.01j),0.06,-165.18,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46088,1.6,Total,2018-08-11,2018-09-16,48.332,-123.179,(0.09+0.06j),0.11,34.06,0.18,199.11,0.32,224.16,0.14,(-0.17-0.06j),0.66,0.63
NDBC46088,1.6,Non-Tidal,2018-08-11,2018-09-16,48.332,-123.179,(-0.04+0.05j),0.06,129.36,0.18,199.01,0.32,224.14,0.14,(-0.17-0.06j),0.32,0.27
NDBC46088,1.6,Tidal,2018-08-11,2018-09-16,48.332,-123.179,(0.13+0.07j),0.15,28.25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46088,1.6,Total,2018-09-16,2018-11-01,48.332,-123.179,(0.18-0.13j),0.22,-35.44,0.21,199.57,0.34,236.15,0.14,(-0.22+0.01j),0.59,0.55
NDBC46088,1.6,Non-Tidal,2018-09-16,2018-11-01,48.332,-123.179,(0.01-0.02j),0.02,-53.04,0.21,199.66,0.34,236.17,0.14,(-0.22+0j),0.33,0.24
NDBC46088,1.6,Tidal,2018-09-16,2018-11-01,48.332,-123.179,(0.22-0.15j),0.27,-34.62,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
